report_period_start,report_period_end,interval_start,interval_end,namespace,cpu_request_namespace_sum,cpu_limit_namespace_sum,cpu_usage_namespace_avg,cpu_usage_namespace_max,cpu_usage_namespace_min,cpu_throttle_namespace_avg,cpu_throttle_namespace_max,cpu_throttle_namespace_min,memory_request_namespace_sum,memory_limit_namespace_sum,memory_usage_namespace_avg,memory_usage_namespace_max,memory_usage_namespace_min,memory_rss_usage_namespace_avg,memory_rss_usage_namespace_max,memory_rss_usage_namespace_min,namespace_running_pods_max,namespace_running_pods_avg,namespace_total_pods_max,namespace_total_pods_avg
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:00:01 +0000 UTC,2025-09-18 00:15:00 +0000 UTC,project-ros-A2,10,10,2.98139,3.27355,2.65506,0.18634,0.18634,0.18634,4294967296,5368709120,2141298895,2177516207,1778470795,1562991894,1589427888,1298153865,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:00:01 +0000 UTC,2025-09-18 00:15:00 +0000 UTC,project-ros-B2,5,10,2.90682,3.0615,2.41257,0.2236,0.2236,0.2236,2147483648,4294967296,3270295473,3744137740,2812344585,1787046707,2045976907,1536800320,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:00:01 +0000 UTC,2025-09-18 00:15:00 +0000 UTC,project-ros-B1,1,5,5.0,5,4.3073,0.0,0,0,1073741824,2147483648,1060116040,1154465734,906753496,890853815,970139273,761977727,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:00:01 +0000 UTC,2025-09-18 00:15:00 +0000 UTC,project-ros-A1,5,6,1.20442,1.99639,0.39001,0.06043,0.12086,0,4294967296,6442450944,2125670583,3221225472,953192829,1166235714,1704352102,581215140,2,2,2,2
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:15:01 +0000 UTC,2025-09-18 00:30:00 +0000 UTC,project-ros-A2,10,10,2.98139,3.27355,2.65506,0.18634,0.18634,0.18634,4294967296,5368709120,2141298895,2177516207,1778470795,1562991894,1589427888,1298153865,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:15:01 +0000 UTC,2025-09-18 00:30:00 +0000 UTC,project-ros-B2,5,10,2.90682,3.0615,2.41257,0.2236,0.2236,0.2236,2147483648,4294967296,3270295473,3744137740,2812344585,1787046707,2045976907,1536800320,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:15:01 +0000 UTC,2025-09-18 00:30:00 +0000 UTC,project-ros-B1,1,5,5.0,5,4.3073,0.0,0,0,1073741824,2147483648,1060116040,1154465734,906753496,890853815,970139273,761977727,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:15:01 +0000 UTC,2025-09-18 00:30:00 +0000 UTC,project-ros-A1,5,6,1.20442,1.99639,0.39001,0.06043,0.12086,0,4294967296,6442450944,2125670583,3221225472,953192829,1166235714,1704352102,581215140,2,2,2,2
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:30:01 +0000 UTC,2025-09-18 00:45:00 +0000 UTC,project-ros-A2,10,10,2.98139,3.27355,2.65506,0.18634,0.18634,0.18634,4294967296,5368709120,2141298895,2177516207,1778470795,1562991894,1589427888,1298153865,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:30:01 +0000 UTC,2025-09-18 00:45:00 +0000 UTC,project-ros-B2,5,10,2.90682,3.0615,2.41257,0.2236,0.2236,0.2236,2147483648,4294967296,3270295473,3744137740,2812344585,1787046707,2045976907,1536800320,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:30:01 +0000 UTC,2025-09-18 00:45:00 +0000 UTC,project-ros-B1,1,5,5.0,5,4.3073,0.0,0,0,1073741824,2147483648,1060116040,1154465734,906753496,890853815,970139273,761977727,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:30:01 +0000 UTC,2025-09-18 00:45:00 +0000 UTC,project-ros-A1,5,6,1.20442,1.99639,0.39001,0.06043,0.12086,0,4294967296,6442450944,2125670583,3221225472,953192829,1166235714,1704352102,581215140,2,2,2,2
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:45:01 +0000 UTC,2025-09-18 01:00:00 +0000 UTC,project-ros-A2,10,10,2.98139,3.27355,2.65506,0.18634,0.18634,0.18634,4294967296,5368709120,2141298895,2177516207,1778470795,1562991894,1589427888,1298153865,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:45:01 +0000 UTC,2025-09-18 01:00:00 +0000 UTC,project-ros-B2,5,10,2.90682,3.0615,2.41257,0.2236,0.2236,0.2236,2147483648,4294967296,3270295473,3744137740,2812344585,1787046707,2045976907,1536800320,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:45:01 +0000 UTC,2025-09-18 01:00:00 +0000 UTC,project-ros-B1,1,5,5.0,5,4.3073,0.0,0,0,1073741824,2147483648,1060116040,1154465734,906753496,890853815,970139273,761977727,1,1,1,1
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 00:45:01 +0000 UTC,2025-09-18 01:00:00 +0000 UTC,project-ros-A1,5,6,1.20442,1.99639,0.39001,0.06043,0.12086,0,4294967296,6442450944,2125670583,3221225472,953192829,1166235714,1704352102,581215140,2,2,2,2
2025-09-01 00:00:00 +0000 UTC,2025-10-01 00:00:00 +0000 UTC,2025-09-18 01:00:01 +0000 UTC,2025-09-18 01:15:00 +0000 UTC,project-ros-A2,10,10,2.98139,3.27355,2.65506,0.18634,0.18634,0.18634,4294967296,5368709120,2141298895,2177516207,1778470795,1562991894,1589427888,1298153865,1,1,1,1
